question,answer
Which control panels are provided with Windows Dedicated Servers?,"BigRock offers Plesk with its Windows server hosting plans. It helps you manage files, databases, emails, and users easily."
Do you offer any billing panels with the server?,"Yes, billing tools like WHMCS can be added depending on the use case."
How long will it take for my Windows Dedicated Server to be ready?,Provisioning usually takes just a few hours. Youâ€™ll get all your credentials once setup is complete.
How do I access my Windows Dedicated Server?,"Youâ€™ll log in via Remote Desktop using the server IP, username, and password."
Do you provide a backup & recovery solution for Windows Dedicated Servers?,Yes. Automated backups and recovery options are available with most plans.
"Which is better, Windows hosting or Linux hosting?","If your applications depend on Microsoft tech, Windows dedicated server hosting India is better suited. Otherwise, Linux hosting works well for open-source setups."
How to host a Windows Server?,"Once your server is activated, you can install software, upload files, configure settings, and go live just like you would on a local Windows machine."
Is Linux faster than Windows server?,"That depends on your workload. But for apps needing the Windows environment, the performance on a Windows dedicated web hosting plan will be more stable."
What is a business email?,"A business email is an email address that uses your companyâ€™s custom domain like [emailÂ protected] instead of a generic Gmail or Yahoo address. This branding helps establish credibility, professionalism, and consistency in your communications."
Why do I need a business email ID?,"Using a business email reinforces your brand identity and builds trust with clients and partners. It clearly signals that you operate professionally and helps keep personal and business communications separate. Many business email plans also include enhanced features such as additional storage, better security protocols, and collaboration tools, making your workflow more efficient and secure."
How do I set up my business email?,"Setting up your BigRock Business Email is simple. Step 1: Configure DNS Settings Log in to your Control Panel, open your domainâ€™s Order Information, and update nameservers. If already on BigRock nameservers, go to DNS records to add/update MX and TXT/SPF recordsâ€”crucial for email delivery. Step 2: Create Email Accounts After DNS changes (up to 6 hours), Titan Business Email activates. From the Admin Panel, create email IDs (e.g., [emailÂ protected] ), set aliases, forwarders, or mailing lists. Step 3: Access Your Email Log in via Titan Webmail or configure Outlook, Thunderbird, or mobile apps using SMTP settings."
Can I create a business email without a website?,"Yes , you only need a registered domain to create a business email; having an active website is not required . If you donâ€™t already own a domain, you can register one through BigRock when subscribing to the Titan email service."
What are the benefits of having a domain-based business email address?,"A domain-based email address elevates your branding every time you communicate. It boosts deliverability, reduces the chance of emails being marked as spam, and gives you full control over email security settings like SPF, DKIM, and DMARC. It also improves customer perception by making your business appear newer and more established."
Can I migrate my existing emails and contacts from other platforms?,"Yes, you can migrate your existing emails and contacts to our email hosting without any hassle. Titan offers built-in migration tools that let you effortlessly move emails and contacts from other platforms. If you face any issues, their support team is available 24/7 to assist you."
Can I access my email account on a mobile device?,"Yes , Titan supports both web-based email and third-party clients across platforms including iOS, Android, Apple Mail, and more. You can securely check your business email from any device with internet access."
Does Titan include a spam filter?,"Yes, Titan features robust anti-spam filtering. All incoming emails go through layers like sender verification, SPF checks, and malware detection before reaching your inbox, dramatically reducing junk mail and security threats."
What should I do if my business email ID is already taken?,"You can create a memorable yet unique email address by using variations , such as changing name order or adding initials. For example, if [emailÂ protected] isnâ€™t available, alternatives like sharma.rahul @, r.sharma @, or rahul. u.sharma @ remain professional and easy to remember."
How much storage space will I get per email account?,"Storage varies by Titan email plan: T he Business Email plan typically provides 10â€¯GB per mailbox, while the Enterprise Email plan offers 50â€¯GB."
Can I create mailing lists?,"Yes , Titan supports mailing list creation and management, including adding/removing members, assigning moderators, and controlling access permissions , ideal for newsletters, group announcements, or departmental communication."
Why do I need email on my domain?,"A domain-branded email address sets you apart from generic accounts and builds immediate trust. It reduces confusion, increases deliverability, and ensures your business appears legitimate and secure."
Can I host my own email using an email hosting service?,"Yes, you can set up and manage custom email addresses for your domain. Our email hosting gives you full control over mailbox configuration."
Do I need email hosting?,Email hosting is a must if youâ€™re running a business or looking to present a professionalâ€‚image. It brings more securityâ€‚and trust.
How to check the email domain?,You can checkâ€‚your email domain by examining your email address or by consulting web-based domain lookup tools. We even help you throughâ€‚the installation to make sure your domain is set up right.
What is Email Hosting?,Email Hosting is a service that runs email servers and provides email service for businesses and individuals. Th is allows the users to send and receive emails using a custom domain-based professional email ID and provides anti-virus and anti-spam filters and secure access to your saved data.
How is business email different from personal email?,"Personal email is for one-to-one email exchanges with family and friends. It is also used for signing up for personal social media accounts and other services. Whereas business email is best for managing professional contacts and corporate communications. It usually comes with higher storage and business-specific integrations and features , including a control panel and migration support."
Why do I need a professional email address for my business?,"Your email address sets the first impression among your clients and stakeholders. A professional branded email address builds credibility for you and your business and sets it apart from a generic email ID. Whatâ€™s more, it improves collaboration and communication among team members and helps organise your business. With Bigrock, you can get Professional Email Hosting at a reasonably affordable price."
Why should I get Business Email over other email services?,"You should get the Business Email product if you are looking for a reliable and easy-to-use email solution that helps you send and receive emails across multiple devices quickly and without hassle. Moreover, y ouâ€™ll benefit from a professional and personali s ed email address, enhanced security features, reliable uptime, dedicated customer support, and seamless integration with productivity tools."
Why should I get Enterprise Email over other email services?,"Enterprise Email is the ideal choice for those seeking a robust and feature-rich email suite. With all the benefits of Business Email, it goes a step further by offering an impressive 30GB mailbox space. Whether youâ€™re expanding your group, team, organi s ation , or customer base, this powerful solution accommodates rapid growth effectively. Elevate your email experience with Enterprise Email and unleash the full potential of your communication capabilities."
Why should I get Google Workspace over other email services?,"G oogle Workspace is a premium offering from Google used by customers and businesses worldwide. It offers the familiar Gmail and Google Drive interface and functionality, all on your custom domain name. If you are looking for a premiere product for your business requirements, Google Workspace is for you!"
Why do I have to pay for Email Services? Aren't other providers offering this for free?,"There are a few problems with using free email services: You most probably wonâ€™t get the name you want. Common names like Anand Shah are already taken, and youâ€™ll have to resort to getting lengthy and confusing ones like â€œ [emailÂ protected] â€ to communicate. You miss a significant opportunity to build your personal/professional brand. Your contacts will find it harder to remember your long and vague email address. You will see ads in your email interface and in the emails that you send out. Therefore, it is always preferable to get Email Hosting services. Bigrock offers three Email Hosting plans in India across different price points â€“ Business Email , Enterprise Email , and Google Workspace . You can choose any of them and enjoy these benefits: communicating professionally, always staying connected, and in-built continuous spam filtering."
I have a Domain Name with another provider. Can I use your Email services?,"Yes, you can! You will be prompted to enter an existing domain name OR buy a new one from Big r ock during the purchase process. On selecting the first option , you can enter your existing domain name to get email services for it."
Does Bigrockâ€™s Professional Email include a spam filter?,"Yes, our Professional Email Hosting plans include i n-built continuous spam filtering , which ensures you donâ€™t get any extra, unwanted emails, thus, keeping your inbox clean."
Can I transfer my existing Google Workspace?,"Yes, you can transfer your existing Google Workspace to a new G Suite account. We can help you with the transfer by moving your emails, contacts, and other data from the old provider to the new one."
Can I use Auto Responders?,"Yes, you can use Gmailâ€™s vacation responder to let people know that you would take time to respond to their messages. In other words, if you have Googleâ€™s vacation responder, an auto responder, turned on, Gmail will send your reply to people who email you."
What is Google Workspace's spam policy?,"Google Workspace â€˜s spam policy prohibits users from sending spammy messages, distributing viruses, or abusing G Suiteâ€™s services. If Google identifies a Google Workspace user violating their spam policy, they can immediately suspend the user. If the problem is domain-wide, Google reserves the right to suspend the entire account and deny administrator access to all the Google Workspace services. In such cases, we send a notification to the registered secondary email address for the domain administrator."
Do I have to buy the entire Google Workbook suite even if I want only one product?,"Yes, Google Workspace is designed as an all-in-one solution for all your online needs. For instance, you can receive a message in Gmail and instantly convert it into a Google Calendar event. Similarly, when you drop a comment in Google document or slides, collaborators can automatically receive email alerts. This level of integration is only possible if you have subscribed to the entire G Suite."
Can I manage multiple domains with Google Workspace?,"Yes, Google Workspace or G S uite has an array of tools that can help you manage multiple domains at no extra cost. Normally, one can add up to 600 domains, given thereâ€™s a primary domain. You add other domains as either a separate domain or domain alias, depending on how you plan to use it."
Which email clients and protocols does Google Workspace support?,"Google Workspace supports many email clients and protocols. Google Workspace supports email protocols like Microsoft Outlook, Thunderbird, Windows Mial, Eudora, and Outlook Express. Meanwhile, most Google Workspace plan supports email protocols like POP, IMAP, and MAPI."
"What happens to my existing emails, contacts, and calendar data when I switch to Google Workspace?","You can transfer your existing data, such as email addresses, contacts, calendar details, important documents, and others, to your Google Workspace using tools like SUREedge , CloudM Migrate, and Spin.AI."
Do I need a new domain for Google Workspace?,"No, you can use your existing domain to sign up for Google Workspace ."
Can I use my existing domain with Google Workspace?,"Yes, you can use an existing domain with your Google Workspace order."
"What happens to my existing mail, contacts, and calendar data when I move to Google Workspace?","When switching to Google Workspace from another program or web service, you and your users can bring your existing mail, contacts, and calendar data with you. You have a variety of options for migrating data into Google Workspace, depending on the size of your organization and the system youâ€™re migrating from. Tools are available for migration from Microsoft Exchange, Lotus Notes, IMAP servers and other Google accounts."
What is the space provided per Email Account?,Pooled Storage space available on Google Workspace is dependent on which plan you purchase. Hereâ€™s the space available with each plan: Business Starter â€“ 30 GB Business Standard â€“ 2 TB Business Plus â€“ 5 TB Enterprise Plus â€“ Unlimited* (1 TB dedicated storage per user ifÂ  no. of users <5. 5 TB pooled storage if no. of users >5)
Is Google Workspace compatible with the email client I use today?,"In addition to accessing Google Workspace mail from the Gmail web interface, you can send and receive mail from your favorite desktop client. Depending on the client, you can use either the IMAP or POP mail protocol. If youâ€™re switching to Google Workspace from Microsoft Exchange or some other Outlook service, you can use Google Workspace Sync. This is a plug-in for Outlook 2003, 2007, 2010 or 2013 that lets you use Outlook to manage your Google Workspace mail, calendar and contactsâ€”along with your Outlook notes, tasks and journal entries."
Which Email Clients and protocols are supported?,"You can send and receive emails using any desktop-based email client such as Microsoft Outlook, Outlook Express, Mozilla Thunderbird, Eudora, Entourage 2004, Windows Mail, etc. We also have a guide on how you can configure different email clients to send/receive emails. The enterprise email product supports the POP, IMAP and MAPI protocols."
Which mobile phones can I access my mail from?,"Your email can be accessed using any Smartphone or Tablet. The Gmail interface is compatible on all major Operating systems such as iOS, Android, Windows Mobile, Symbian and Blackberry."
Can I manage multiple domains with Google Workspace?,"If your organization acquires a new domain name or does business at multiple domains, you can add all your domains to your account at no extra cost. Users can then have identities at one or more of your domains while sharing services as part of a single organization. And you manage your domains from the same Admin console. You add a domain as either a separate domain or domain alias, depending on how you plan to use it."
"If I only want one of the products, do I have to buy the entire suite?","Yes. Google Workspace is designed as an all-in-one solution with integrated tools that work seamlessly together. For instance, you can receive a message in Gmail and instantly convert it into a Calendar event. When you make a comment in Docs, Sheets or Slides, collaborators automatically receive email alerts. With a single click, you can launch a Hangouts video meeting from your inbox or calendar. Using these tools as a complete package improves productivity while giving your business the most value. However, you are welcome to purchase the suite and only use the services of your choice."
Is Email hosting included in my plan?,"Yes, Email hosting is included in your Linux Shared Hosting package. You can create multiple email accounts as mentioned in your package. There is a 10GB email storage limit. Should you need more advanced email solutions, you can buy either Google Workspace or our Business Email Hosting."
Can I create mailing lists?,"Yes, you can create mailing lists and add/delete users, select a moderator, restrict people from joining a list or even ban users from a list."
What is your SPAM policy?,"When you sign up for a Google Workspace account, you agree not to use the account to send spam, distribute viruses, or otherwise abuse the service. All users on your domain are subject to these agreements, which are part of the Google Workspace Acceptable Use Policy. If Google identifies a Google Workspace user who is violating these agreements, we reserve the right to immediately suspend the user. If the problem is domain-wide, we reserve the right to suspend the entire account and deny administrator access to all the Google Workspace services. In such cases, we send a notification to the registered secondary email address for the domain administrator."
Can I use Auto Responders?,"Yes, you can. Use Gmailâ€™s vacation responder to let people know that you wonâ€™t be able to get back to them right away. While your vacation responder is turned on, Gmail will send your reply to people who email you."
Can I transfer my existing Google Workspace?,"Yes. During the transfer, we move all your email accounts from the old provider to us by keeping the data intact. However, your existing tenure with the other provider, if any does not get moved to us. You can click here to initiate the transfer process."
What is an SSL Certificate?,"An SSL Certificate scrambles the information transmitted between your site and its visitors. It stops hackers and others who can interfere with the sensitive information, such as passwords, card numbers , and personal information."
Why should I buy an SSL Certificate?,"When you purchase an SSL, you can defend your site and build user confidence in you and your site, as well as enhance SEO. You also need it when intending to process payments or gather sensitive data."
Do SSL Certificates work in all browsers?,"Yes, all Comodo SSL certificates proposed by BigRock are supported by most of the browsers, such as Chrome, Firefox, Edge, and Safari."
How do I activate an SSL certificate?,"After your SSL purchase, you can activate the certificate directly from your BigRock account. It only takes a few clicks, and guidance is provided."
What are the different types of SSL certificates?,"Youâ€™ll find single-domain, multi ple domain , and wildcard SSLs. The right one depends on how many websites or subdomains you want to secure."
Why is SSL used?,"SSL is used to secure online data, gain trust, and ensure safe interactions. It plays a vital role in eCommerce, login areas, and contact forms."
How to check an SSL certificate?,"You can click on the padlock icon in your browserâ€™s address bar. It will show details like certificate validity, issuer, and encryption level."
How to create an SSL certificate?,"While you can generate a self-signed certificate, a trusted SSL, like Comodo, is created by a Certificate Authority and is linked to your domain with proper validation."
Is an SSL Certificate essential for a website?,"Yes, primarily if your site collects any kind of data. Also, most browsers mark non-SSL sites as â€œNot Secure.â€ For trust and compliance, an SSL is important ."
Why should I build a website?,"A website helps your business reach more customers online and builds trust with a professional presence. Whether someone hears about your business or searches online, a website shows youâ€™re serious."
What is BigRock Website Builder?,"It is an easy tool to create professional and attractive websites without coding, with the help of drag-and-drop features. You just drag things aroundâ€”images, text, buttonsâ€”and build your pages the way you want. Itâ€™s handy for anyone who wants to build a website ."
Can I customise my website at my own?,"Yes, you can easily change templates, colours, fonts, and content to make your website unique. Once youâ€™ve locked in your domain after checking the domain price , BigRockâ€™s Website Builder gives you the freedom to design your site exactly how you want it. You can change the design, pick different colours or fonts, update contentâ€” basically make it feel like your brand. BigRockâ€™s website builder is designed so you can tweak things without having to rely on anyone else."
Is BigRock's website builder offers excellent result to small businesses?,"Yes, itâ€™s great for small businesses with affordable plans and tools to create a professional site. You donâ€™t need a huge budget or tech skills to get started, which is what makes it such a good fit. Just start with a domain name search to get your perfect web address, and youâ€™ll be all set to build something solid."
What is the time needed to build a website?,You can build a basic website within few hours using BigRockâ€™s simple drag-and-drop builder. Thanks to its user-friendly interface.
How do I ensure my website is secure and trustworthy for visitors?,Use BigRockâ€™s free SSL certificate and SiteLock malware protection to keep your site safe.
Does the BigRockâ€™s Website Builder include SEO tools?<,"Yes, it offers tools to add title tags and meta descriptions to improve your siteâ€™s search ranking."
Do I need coding knowledge to use the Website Builder?,"No, you donâ€™t need coding skills; the drag-and-drop builder makes it simple for anyone."
Will my website be backed up automatically?,"Yes, BigRock offers automatic backups with CodeGuard to keep your website data safe."
What is a Website Design Service?,"It is a service offered by BigRockâ€™s expert design er s to create professional , responsive websites. The custom website designs are created to suit your business needs, while also prioritising mobile responsiveness and SEO ."
How to get started with a Website Design Service?,Choose a plan right here to get started!
Why should I get a Website Design Service?,"BigR ockâ€™s website design service is a premium design service offered by our in-house , highly-trained web design consultants who have years of experience in building and hosting websites . Our design services turn your vision into reality , saving you time , money and effort."
What's included in your Website Design Service?,"BigR ock provides best -in-class custom website design services . Our experts help build your website & optimi s e it for mobile, SEO , and landing page performance. With our service, you will get custom pages for your website, a contact page with email updates, Google Maps integration, premium stock images, design revisions with our expert designers , and so much more."
Can I give feedback on the web design while itâ€™s still in progress?,"Yes, absolutely ! You get a specified number of bulk revision rounds , so youâ€™re completely satisfied with the result before the handover."
What is Managed SEO service?,"Managed SEO service ensures your website shows up on search engines like Google. Our team of experts takes charge of SEO strategies, allowing you to focus on your business while we work to improve your websiteâ€™s visibility and traffic"
Why Should I Choose Bigrock for Professional SEO Services?,"At Bigrock, we offer a complete suite of managed SEO services, including a team of an SEO account manager, SEO copywriters, website analytics, and targeted campaigns. We will help your website get more visibility and establish a strong online presence."
Can Managed SEO services help my website  rank locally?,"Yes, Managed SEO services can include local SEO strategies to improve your websiteâ€™s visibility in local search results, attracting customers from your target geographical area."
Will Managed SEO services include content  creation?,"Yes, Managed SEO services can include content creation (depending on your requirement) and optimization to improve your websiteâ€™s relevance and authority in search engines, enhancing its overall SEO performance."
Will you be making changes to my website?,"Yes, we will make changes to your website, but they will be limited to SEO-related optimizations. These optimizations primarily focus on improving your websiteâ€™s visibility and performance on search engines. Examples of SEO on-page optimizations include optimizing content, meta tags and internal linking structure. Please note that design or UI/UX level changes are not part of our SEO service offerings."
How long does it take to see the results?,"SEO services typically take time to show any results, minimum 6 to 9 months. During this period, we work diligently to enhance your websiteâ€™s visibility and performance, leading to increased traffic, optimized website and improved search engine rankings. Your SEO Specialist will create a strategy best suited for your business and its targeted audience. Our transparent approach will tell you what you can expect as results."
What types of businesses can benefit from Managed SEO services?,"Businesses of all sizes and industries can benefit from Managed SEO. At Bigrock we focus on locally targeted businesses and our services are tailored to improve your online presence, attract customers, and stay competitive in your respective markets."
How can I track the progress of my SEO  campaign?,"Youâ€™ll receive monthly reports detailing website traffic, keyword rankings, other performance metrics and progress updates. Tools like Google Analytics provide deeper insights into user behavior and engagement, allowing you to monitor the effectiveness of your SEO campaign. Additionally, your dedicated SEO account manager will also be available to answer any questions on progress or updates."
How do I pay or what are the payment terms  for the service ?,The minimum tenure you purchase the service for is 6 months and you can go upto 12 months.
What happens if I'm not satisfied with the  results?,"If youâ€™re not satisfied with the results of our Managed SEO services, weâ€™re committed to addressing your concerns and making necessary adjustments. Itâ€™s important to note that SEO is a long-term strategy, and it takes minimum 6 to 9 months to show any results. Also, Various factors can influence the outcome, including industry competition, industry demand, site age, brand reputation, and existing SEO efforts. Weâ€™ll work closely with you to understand your expectations, refine our strategies, and ensure weâ€™re aligned with your business goals."
How does Managed SEO differ from DIY  efforts?,"Managed SEO offers the expertise of professionals who stay updated with the latest SEO trends and best practices, providing comprehensive strategies and ongoing optimization efforts tailored to your business goals, whereas DIY SEO requires you to handle all aspects of optimization yourself, which can be time-consuming and may lack the expertise needed for effective results."
What is the cost of Managed SEO services?,"The cost of Managed SEO services varies based on factors such as scope, competitiveness, and goals. Contact us for a plan and quote aligned with your business needs, and weâ€™ll provide a transparent breakdown of costs and services included."
Why Pay for SEO When I Can Use Google Ads?,"SEO offers sustainable benefits by improving organic search rankings and visibility over time, unlike temporary solutions like Google Ads. While Google Ads can provide immediate results, SEO drives long-term growth by attracting organic traffic and generating leads without ongoing ad spend."
